report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed
115,07-01-2020 13:00,01-05-2020 18:00,06-01-2020 08:02,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,03-02-2020 13:00
117,07-01-2020 04:00,01-05-2020 20:00,06-01-2020 10:15,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,14,Yes,13-03-2020 04:00
118,06-01-2020 20:00,01-05-2020 21:00,06-01-2020 02:16,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,Yes,30-03-2020 20:00
119,07-01-2020 19:00,01-05-2020 22:00,05-01-2020 23:48,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,Yes,27-02-2020 19:00
121,07-01-2020 14:00,01-06-2020 00:00,06-01-2020 12:16,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,22-01-2020 14:00
122,08-01-2020 19:00,01-06-2020 01:00,06-01-2020 22:59,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,06-04-2020 19:00
128,07-01-2020 04:00,01-06-2020 07:00,07-01-2020 02:17,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,Yes,01-04-2020 04:00
130,08-01-2020 14:00,01-06-2020 09:00,06-01-2020 14:55,Ghaziabad,111,ROBBERY,33,M,Other,Violent Crime,3,Yes,20-05-2020 14:00
137,07-01-2020 23:00,01-06-2020 16:00,07-01-2020 01:01,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,Yes,23-01-2020 23:00
140,08-01-2020 16:00,01-06-2020 19:00,07-01-2020 01:17,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,Yes,06-02-2020 16:00
142,07-01-2020 23:00,01-06-2020 21:00,07-01-2020 06:34,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,27-03-2020 23:00
144,07-01-2020 06:00,01-06-2020 23:00,07-01-2020 16:49,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,Yes,04-02-2020 06:00
147,07-01-2020 16:00,01-07-2020 02:00,07-01-2020 18:49,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,Yes,26-01-2020 16:00
150,07-01-2020 08:00,01-07-2020 05:00,07-01-2020 11:19,Patna,157,SHOPLIFTING,46,F,Knife,Other Crime,1,Yes,03-04-2020 08:00
151,08-01-2020 08:00,01-07-2020 06:00,07-01-2020 13:59,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,Other Crime,3,Yes,27-03-2020 08:00
156,10-01-2020 05:00,01-07-2020 11:00,07-01-2020 12:05,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,Violent Crime,14,Yes,02-04-2020 05:00
159,09-01-2020 18:00,01-07-2020 14:00,08-01-2020 06:49,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,15,Yes,08-02-2020 18:00
160,07-01-2020 19:00,01-07-2020 15:00,08-01-2020 14:26,Kolkata,509,ASSAULT,27,F,Blunt Object,Violent Crime,17,Yes,22-03-2020 19:00
161,09-01-2020 03:00,01-07-2020 16:00,08-01-2020 09:21,Meerut,321,COUNTERFEITING,30,F,Knife,Other Crime,13,Yes,19-02-2020 03:00
165,10-01-2020 00:00,01-07-2020 20:00,08-01-2020 06:07,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,9,Yes,23-12-2020 00:00
166,10-01-2020 14:00,01-07-2020 21:00,08-01-2020 00:42,Ahmedabad,234,VANDALISM,54,M,Firearm,Other Crime,19,Yes,10-03-2020 14:00
167,08-01-2020 16:00,01-07-2020 22:00,08-01-2020 05:25,Delhi,470,VANDALISM,79,M,Explosives,Other Crime,13,Yes,27-01-2020 16:00
168,08-01-2020 22:00,01-07-2020 23:00,08-01-2020 02:01,Delhi,518,FRAUD,12,F,Firearm,Other Crime,3,Yes,04-03-2020 22:00
170,10-01-2020 07:00,01-08-2020 01:00,08-01-2020 05:22,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,Traffic Fatality,8,Yes,17-01-2020 07:00
173,11-01-2020 03:00,01-08-2020 04:00,08-01-2020 13:20,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,17,Yes,29-10-2021 03:00
175,09-01-2020 00:00,01-08-2020 06:00,08-01-2020 10:27,Surat,144,ROBBERY,64,M,Blunt Object,Violent Crime,13,Yes,15-06-2020 00:00
177,08-01-2020 14:00,01-08-2020 08:00,09-01-2020 02:25,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,8,Yes,21-03-2020 14:00
180,10-01-2020 01:00,01-08-2020 11:00,09-01-2020 02:31,Pune,584,DOMESTIC VIOLENCE,72,M,Blunt Object,Violent Crime,14,Yes,23-01-2020 01:00
183,10-01-2020 09:00,01-08-2020 14:00,08-01-2020 17:18,Ahmedabad,133,SEXUAL ASSAULT,28,F,Firearm,Violent Crime,12,Yes,09-05-2021 09:00
185,08-01-2020 19:00,01-08-2020 16:00,08-01-2020 17:27,Mumbai,151,FRAUD,67,F,Other,Other Crime,19,Yes,03-03-2020 19:00
186,11-01-2020 15:00,01-08-2020 17:00,09-01-2020 08:32,Bangalore,287,FRAUD,70,F,Other,Other Crime,8,Yes,12-03-2020 15:00
187,09-01-2020 09:00,01-08-2020 18:00,09-01-2020 10:28,Delhi,541,VANDALISM,75,F,Blunt Object,Other Crime,4,Yes,13-02-2020 09:00
189,09-01-2020 04:00,01-08-2020 20:00,09-01-2020 03:24,Hyderabad,415,EXTORTION,24,F,Knife,Other Crime,2,Yes,23-03-2020 04:00
190,11-01-2020 05:00,01-08-2020 21:00,08-01-2020 21:24,Chennai,151,CYBERCRIME,44,M,Explosives,Other Crime,15,Yes,12-02-2020 05:00
192,09-01-2020 02:00,01-08-2020 23:00,09-01-2020 20:39,Delhi,381,IDENTITY THEFT,18,M,Blunt Object,Violent Crime,11,Yes,20-01-2020 02:00
196,10-01-2020 04:00,01-09-2020 03:00,10-01-2020 00:18,Lucknow,562,DOMESTIC VIOLENCE,56,M,Other,Violent Crime,4,Yes,14-02-2020 04:00
197,10-01-2020 10:00,01-09-2020 04:00,09-01-2020 15:55,Ahmedabad,287,PUBLIC INTOXICATION,32,M,Explosives,Other Crime,1,Yes,24-01-2020 10:00
198,11-01-2020 17:00,01-09-2020 05:00,09-01-2020 10:20,Hyderabad,316,EXTORTION,25,F,Explosives,Other Crime,10,Yes,22-01-2020 17:00
201,11-01-2020 23:00,01-09-2020 08:00,10-01-2020 04:27,Srinagar,365,COUNTERFEITING,27,F,Blunt Object,Other Crime,8,Yes,05-02-2020 23:00
203,10-01-2020 04:00,01-09-2020 10:00,09-01-2020 12:58,Mumbai,257,DRUG OFFENSE,34,F,Blunt Object,Other Crime,2,Yes,15-03-2020 04:00
204,11-01-2020 16:00,01-09-2020 11:00,09-01-2020 13:00,Lucknow,427,KIDNAPPING,16,F,Firearm,Other Crime,5,Yes,14-03-2020 16:00
205,11-01-2020 04:00,01-09-2020 12:00,10-01-2020 02:34,Hyderabad,340,SHOPLIFTING,59,F,Other,Other Crime,13,Yes,03-03-2020 04:00
207,11-01-2020 08:00,01-09-2020 14:00,10-01-2020 12:37,Bangalore,376,COUNTERFEITING,21,F,Blunt Object,Other Crime,3,Yes,10-02-2020 08:00
210,12-01-2020 03:00,01-09-2020 17:00,10-01-2020 06:07,Kolkata,573,PUBLIC INTOXICATION,43,F,Knife,Other Crime,18,Yes,14-01-2020 03:00
213,11-01-2020 23:00,01-09-2020 20:00,10-01-2020 07:00,Kolkata,598,IDENTITY THEFT,19,F,Firearm,Violent Crime,6,Yes,21-01-2020 23:00
214,11-01-2020 05:00,01-09-2020 21:00,10-01-2020 02:45,Bangalore,239,VEHICLE - STOLEN,73,M,Explosives,Violent Crime,13,Yes,13-03-2020 05:00
215,11-01-2020 16:00,01-09-2020 22:00,10-01-2020 00:56,Delhi,267,SEXUAL ASSAULT,44,M,Explosives,Violent Crime,1,Yes,01-09-2021 16:00
222,11-01-2020 08:00,01-10-2020 05:00,10-01-2020 05:29,Ludhiana,276,KIDNAPPING,69,F,Poison,Other Crime,7,Yes,22-01-2020 08:00
224,12-01-2020 21:00,01-10-2020 07:00,10-01-2020 23:31,Chennai,307,ROBBERY,49,F,Knife,Violent Crime,19,Yes,01-05-2020 21:00
225,10-01-2020 19:00,01-10-2020 08:00,11-01-2020 00:10,Bangalore,153,CYBERCRIME,40,F,Firearm,Other Crime,5,Yes,01-04-2020 19:00
227,12-01-2020 16:00,01-10-2020 10:00,10-01-2020 23:35,Mumbai,365,VANDALISM,35,F,Poison,Other Crime,15,Yes,16-03-2020 16:00
229,13-01-2020 05:00,01-10-2020 12:00,11-01-2020 04:03,Jaipur,247,VEHICLE - STOLEN,61,F,Other,Violent Crime,18,Yes,25-02-2020 05:00
235,12-01-2020 21:00,01-10-2020 18:00,10-01-2020 20:30,Mumbai,514,TRAFFIC VIOLATION,23,F,Firearm,Traffic Fatality,19,Yes,14-01-2020 21:00
236,13-01-2020 02:00,01-10-2020 19:00,10-01-2020 22:34,Ludhiana,105,ARSON,14,M,Poison,Fire Accident,12,Yes,07-04-2020 02:00
242,11-01-2020 08:00,01-11-2020 01:00,11-01-2020 03:03,Bangalore,188,VANDALISM,59,F,Blunt Object,Other Crime,1,Yes,12-02-2020 08:00
243,12-01-2020 01:00,01-11-2020 02:00,11-01-2020 11:51,Pune,512,FRAUD,48,F,Knife,Other Crime,4,Yes,06-04-2020 01:00
244,13-01-2020 22:00,01-11-2020 03:00,11-01-2020 10:11,Kalyan,388,SEXUAL ASSAULT,18,F,Poison,Violent Crime,19,Yes,21-08-2020 22:00
245,13-01-2020 00:00,01-11-2020 04:00,11-01-2020 14:49,Nagpur,423,ROBBERY,58,F,Firearm,Violent Crime,17,Yes,27-06-2020 00:00
247,13-01-2020 11:00,01-11-2020 06:00,11-01-2020 08:58,Nagpur,432,EXTORTION,38,F,Blunt Object,Other Crime,6,Yes,24-03-2020 11:00
248,14-01-2020 03:00,01-11-2020 07:00,11-01-2020 20:32,Ahmedabad,262,IDENTITY THEFT,77,F,Explosives,Violent Crime,13,Yes,28-02-2020 03:00
249,13-01-2020 23:00,01-11-2020 08:00,12-01-2020 07:14,Thane,293,DOMESTIC VIOLENCE,70,F,Explosives,Violent Crime,8,Yes,26-03-2020 23:00
250,13-01-2020 22:00,01-11-2020 09:00,11-01-2020 21:57,Nagpur,164,EXTORTION,11,F,Other,Other Crime,17,Yes,23-01-2020 22:00
252,13-01-2020 05:00,01-11-2020 11:00,11-01-2020 15:11,Thane,182,SHOPLIFTING,71,F,Firearm,Other Crime,3,Yes,31-03-2020 05:00
253,12-01-2020 03:00,01-11-2020 12:00,12-01-2020 01:17,Hyderabad,362,TRAFFIC VIOLATION,11,M,Other,Traffic Fatality,10,Yes,06-02-2020 03:00
256,13-01-2020 17:00,01-11-2020 15:00,12-01-2020 06:45,Kolkata,581,PUBLIC INTOXICATION,76,M,Explosives,Other Crime,9,Yes,20-01-2020 17:00
257,12-01-2020 13:00,01-11-2020 16:00,12-01-2020 00:13,Hyderabad,230,EXTORTION,47,M,Blunt Object,Other Crime,4,Yes,10-02-2020 13:00
259,12-01-2020 22:00,01-11-2020 18:00,11-01-2020 22:11,Mumbai,151,EXTORTION,33,M,Poison,Other Crime,8,Yes,02-04-2020 22:00
262,12-01-2020 22:00,01-11-2020 21:00,12-01-2020 07:49,Ghaziabad,145,COUNTERFEITING,49,M,Blunt Object,Other Crime,13,Yes,06-02-2020 22:00
264,13-01-2020 22:00,01-11-2020 23:00,12-01-2020 22:04,Kanpur,261,SEXUAL ASSAULT,69,F,Knife,Violent Crime,11,Yes,18-12-2020 22:00
265,12-01-2020 17:00,01-12-2020 00:00,12-01-2020 19:08,Visakhapatnam,152,COUNTERFEITING,79,F,Blunt Object,Other Crime,14,Yes,21-02-2020 17:00
268,14-01-2020 10:00,01-12-2020 03:00,12-01-2020 23:31,Kanpur,508,KIDNAPPING,16,F,Knife,Other Crime,8,Yes,24-01-2020 10:00
270,15-01-2020 00:00,01-12-2020 05:00,12-01-2020 07:42,Srinagar,491,SHOPLIFTING,50,M,Explosives,Other Crime,11,Yes,28-02-2020 00:00
272,14-01-2020 20:00,01-12-2020 07:00,12-01-2020 23:49,Hyderabad,292,PUBLIC INTOXICATION,39,F,Knife,Other Crime,3,Yes,06-02-2020 20:00
279,14-01-2020 09:00,01-12-2020 14:00,13-01-2020 04:56,Chennai,410,TRAFFIC VIOLATION,58,M,Knife,Traffic Fatality,8,Yes,30-01-2020 09:00
280,13-01-2020 05:00,01-12-2020 15:00,13-01-2020 04:19,Ludhiana,217,KIDNAPPING,45,F,Blunt Object,Other Crime,18,Yes,07-04-2020 05:00
282,13-01-2020 12:00,01-12-2020 17:00,13-01-2020 00:49,Ludhiana,180,FRAUD,62,F,Other,Other Crime,2,Yes,14-03-2020 12:00
286,15-01-2020 04:00,01-12-2020 21:00,13-01-2020 05:53,Mumbai,212,SHOPLIFTING,38,M,Other,Other Crime,11,Yes,25-03-2020 04:00
287,13-01-2020 00:00,01-12-2020 22:00,13-01-2020 16:05,Pune,244,VEHICLE - STOLEN,12,F,Explosives,Violent Crime,3,Yes,01-02-2020 00:00
288,14-01-2020 15:00,01-12-2020 23:00,13-01-2020 01:39,Bangalore,363,IDENTITY THEFT,30,F,Firearm,Violent Crime,9,Yes,29-03-2020 15:00
289,14-01-2020 08:00,01-13-2020 00:00,13-01-2020 15:29,Chennai,550,ILLEGAL POSSESSION,25,F,Blunt Object,Other Crime,3,Yes,25-01-2020 08:00
294,14-01-2020 17:00,01-13-2020 05:00,13-01-2020 10:55,Chennai,562,ASSAULT,51,F,Blunt Object,Violent Crime,4,Yes,07-02-2020 17:00
295,15-01-2020 15:00,01-13-2020 06:00,13-01-2020 11:43,Bangalore,568,DOMESTIC VIOLENCE,48,M,Poison,Violent Crime,6,Yes,07-03-2020 15:00
296,13-01-2020 17:00,01-13-2020 07:00,13-01-2020 13:14,Kolkata,262,VANDALISM,62,M,Other,Other Crime,4,Yes,25-01-2020 17:00
298,15-01-2020 06:00,01-13-2020 09:00,14-01-2020 04:47,Kolkata,199,IDENTITY THEFT,32,M,Explosives,Violent Crime,19,Yes,26-01-2020 06:00
300,15-01-2020 07:00,01-13-2020 11:00,14-01-2020 04:57,Nagpur,256,ROBBERY,55,F,Blunt Object,Violent Crime,7,Yes,05-04-2020 07:00
305,13-01-2020 22:00,01-13-2020 16:00,13-01-2020 16:47,Pune,126,TRAFFIC VIOLATION,13,F,Knife,Traffic Fatality,13,Yes,21-01-2020 22:00
307,14-01-2020 01:00,01-13-2020 18:00,13-01-2020 22:40,Kanpur,528,TRAFFIC VIOLATION,50,F,Firearm,Traffic Fatality,3,Yes,15-01-2020 01:00
309,14-01-2020 12:00,01-13-2020 20:00,14-01-2020 17:26,Bangalore,577,SEXUAL ASSAULT,26,M,Firearm,Violent Crime,12,Yes,10-07-2021 12:00
310,15-01-2020 17:00,01-13-2020 21:00,14-01-2020 16:26,Ahmedabad,494,DOMESTIC VIOLENCE,35,F,Poison,Violent Crime,9,Yes,30-01-2020 17:00
315,16-01-2020 04:00,01-14-2020 02:00,14-01-2020 17:13,Kanpur,389,BURGLARY,60,M,Poison,Other Crime,1,Yes,24-04-2020 04:00
316,14-01-2020 20:00,01-14-2020 03:00,14-01-2020 19:05,Delhi,361,BURGLARY,42,M,Other,Other Crime,11,Yes,01-07-2020 20:00
317,14-01-2020 13:00,01-14-2020 04:00,14-01-2020 12:47,Mumbai,269,DOMESTIC VIOLENCE,42,F,Knife,Violent Crime,1,Yes,23-01-2020 13:00
325,17-01-2020 07:00,01-14-2020 12:00,14-01-2020 20:43,Bangalore,589,SHOPLIFTING,67,F,Explosives,Other Crime,6,Yes,31-01-2020 07:00
330,17-01-2020 16:00,01-14-2020 17:00,15-01-2020 16:31,Surat,570,DRUG OFFENSE,42,F,Other,Other Crime,5,Yes,23-02-2020 16:00
331,16-01-2020 00:00,01-14-2020 18:00,15-01-2020 13:53,Delhi,358,ARSON,15,F,Poison,Fire Accident,18,Yes,25-03-2020 00:00
332,15-01-2020 16:00,01-14-2020 19:00,14-01-2020 21:22,Delhi,586,ILLEGAL POSSESSION,57,M,Knife,Other Crime,17,Yes,10-02-2020 16:00
333,15-01-2020 07:00,01-14-2020 20:00,15-01-2020 07:04,Mumbai,534,COUNTERFEITING,70,M,Explosives,Other Crime,14,Yes,12-03-2020 07:00
338,17-01-2020 22:00,01-15-2020 01:00,15-01-2020 06:07,Faridabad,477,SEXUAL ASSAULT,21,M,Other,Violent Crime,12,Yes,31-08-2020 22:00
340,15-01-2020 20:00,01-15-2020 03:00,15-01-2020 17:40,Ahmedabad,167,PUBLIC INTOXICATION,36,F,Knife,Other Crime,13,Yes,07-02-2020 20:00
341,17-01-2020 08:00,01-15-2020 04:00,15-01-2020 16:24,Pune,101,ROBBERY,14,F,Knife,Violent Crime,12,Yes,13-07-2020 08:00
343,16-01-2020 23:00,01-15-2020 06:00,15-01-2020 21:41,Pune,390,CYBERCRIME,46,M,Firearm,Other Crime,16,Yes,30-03-2020 23:00
348,17-01-2020 06:00,01-15-2020 11:00,16-01-2020 05:33,Delhi,277,ILLEGAL POSSESSION,55,M,Knife,Other Crime,13,Yes,13-02-2020 06:00
350,16-01-2020 10:00,01-15-2020 13:00,15-01-2020 18:19,Bangalore,387,PUBLIC INTOXICATION,50,F,Poison,Other Crime,7,Yes,09-02-2020 10:00
352,15-01-2020 19:00,01-15-2020 15:00,16-01-2020 01:58,Mumbai,270,CYBERCRIME,44,F,Blunt Object,Other Crime,11,Yes,25-02-2020 19:00
353,16-01-2020 09:00,01-15-2020 16:00,16-01-2020 09:30,Delhi,205,ILLEGAL POSSESSION,64,F,Explosives,Other Crime,12,Yes,07-03-2020 09:00
354,16-01-2020 12:00,01-15-2020 17:00,16-01-2020 05:24,Vasai,272,EXTORTION,78,F,Explosives,Other Crime,12,Yes,20-03-2020 12:00
359,16-01-2020 20:00,01-15-2020 22:00,16-01-2020 18:11,Lucknow,503,ASSAULT,31,F,Other,Violent Crime,3,Yes,04-03-2020 20:00
360,17-01-2020 03:00,01-15-2020 23:00,16-01-2020 04:29,Kolkata,418,BURGLARY,14,F,Explosives,Other Crime,2,Yes,12-04-2020 03:00
362,17-01-2020 17:00,01-16-2020 01:00,16-01-2020 16:35,Ludhiana,502,CYBERCRIME,26,F,Poison,Other Crime,17,Yes,04-02-2020 17:00
370,19-01-2020 04:00,01-16-2020 09:00,17-01-2020 02:08,Bangalore,213,COUNTERFEITING,28,M,Poison,Other Crime,19,Yes,29-03-2020 04:00
374,19-01-2020 08:00,01-16-2020 13:00,16-01-2020 13:15,Meerut,552,DOMESTIC VIOLENCE,36,F,Other,Violent Crime,8,Yes,25-02-2020 08:00
376,19-01-2020 11:00,01-16-2020 15:00,17-01-2020 04:29,Lucknow,558,BURGLARY,29,F,Blunt Object,Other Crime,19,Yes,31-03-2020 11:00
377,16-01-2020 23:00,01-16-2020 16:00,16-01-2020 17:57,Indore,432,BURGLARY,44,M,Blunt Object,Other Crime,18,Yes,15-04-2020 23:00
380,17-01-2020 00:00,01-16-2020 19:00,17-01-2020 14:11,Ghaziabad,148,DRUG OFFENSE,36,F,Blunt Object,Other Crime,2,Yes,11-04-2020 00:00
381,19-01-2020 04:00,01-16-2020 20:00,16-01-2020 20:42,Surat,349,IDENTITY THEFT,69,F,Blunt Object,Violent Crime,6,Yes,12-02-2020 04:00
382,17-01-2020 10:00,01-16-2020 21:00,17-01-2020 10:33,Mumbai,587,IDENTITY THEFT,63,F,Poison,Violent Crime,3,Yes,01-04-2020 10:00
388,19-01-2020 16:00,01-17-2020 03:00,18-01-2020 01:17,Rajkot,454,TRAFFIC VIOLATION,59,F,Poison,Traffic Fatality,12,Yes,24-01-2020 16:00
